,id,Breed,Country,City,State
52,52,Blue Lacy,United States,,Texas
53,53,Bluetick Coonhound,United States,,Louisiana
54,54,Boerboel,South Africa,,
55,55,Bohemian Shepherd,Czech Republic,,
56,56,Border Collie,England,,
57,57,Borzoi,Russia,,
58,58,Boston Terrier,United States,Boston,Massachusetts
59,59,Bouvier des Flandres,Belgium,,
60,60,Boxer,Germany,,
61,61,Boykin Spaniel,United States,,South Carolina
62,62,Bracco Italiano,Italy,,
63,63,Braque du Bourbonnais,France,,
