dog_breed,avg_life_expectancy,avg_height,avg_weight
Skye Terrier,13.0,10.0,35.0
Sloughi,12.5,27.5,42.5
Slovakian Wirehaired Pointer,13.5,25.5,57.5
Slovensky Cuvac,12.0,25.25,82.5
Slovensky Kopov,12.5,18.0,38.5
Spanish Mastiff,11.0,31.5,170.0
Spanish Water Dog,13.0,18.625,40.0
Spinone Italiano,11.0,25.0,75.0
Stabyhoun,14.0,20.0,50.0
Staffordshire Bull Terrier,13.0,15.0,31.0
Standard Schnauzer,14.5,19.0,40.0
Sussex Spaniel,14.0,14.0,40.0
Swedish Lapphund,13.0,18.0,37.5
Swedish Vallhund,13.5,13.125,27.5
Taiwan Dog,11.0,18.5,33.0
Teddy Roosevelt Terrier,15.0,11.5,16.5
Thai Ridgeback,12.5,22.0,55.0
Tibetan Mastiff,11.0,27.0,107.5
Tibetan Spaniel,13.5,10.0,12.0
Tibetan Terrier,15.5,15.5,24.5
Tornjak,13.0,25.5,86.0
Tosa,11.0,22.5,150.0
Transylvanian Hound,12.0,24.0,71.5
Treeing Tennessee Brindle,11.0,20.0,40.0
Treeing Walker Coonhound,12.5,24.5,60.0
Vizsla,13.0,23.0,53.5
Volpino Italiano,13.0,11.25,11.5
Weimaraner,11.5,26.0,72.5
Welsh Springer Spaniel,13.5,18.5,45.0
Welsh Terrier,13.5,15.0,21.0
West Highland White Terrier,14.0,11.0,17.5
Wetterhoun,13.0,23.0,62.5
Whippet,13.5,20.5,32.5
Wirehaired Pointing Griffon,13.5,23.0,51.25
Wirehaired Vizsla,13.0,24.0,55.0
Xoloitzcuintli,15.5,22.0,44.0
Yakutian Laika,11.0,22.0,47.5
Yorkshire Terrier,13.0,7.5,7.0
