image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,name
https://api-ninjas.com/images/dogs/danish-swedish_farmdog.jpg,5,5,2,1,1,1,5,4,4,4,4,3,11.0,13.0,14.5,14.5,20.0,20.0,12.5,12.5,15.0,15.0,Danish-Swedish Farmdog
https://api-ninjas.com/images/dogs/doberman_pinscher.jpg,5,3,4,1,2,1,4,4,5,5,5,3,10.0,12.0,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,Doberman Pinscher
https://api-ninjas.com/images/dogs/dogo_argentino.jpg,3,3,4,1,3,1,4,4,5,5,5,3,9.0,15.0,27.0,27.0,100.0,100.0,24.0,24.0,80.0,80.0,Dogo Argentino
https://api-ninjas.com/images/dogs/dogue_de_bordeaux.jpg,3,3,4,1,5,1,3,3,5,4,3,3,5.0,8.0,23.27,23.27,140.0,140.0,23.27,23.27,120.0,120.0,Dogue de Bordeaux
https://api-ninjas.com/images/dogs/drever.jpg,5,5,3,1,2,1,4,4,3,5,4,4,15.0,15.0,15.0,15.0,40.0,40.0,12.0,12.0,35.0,35.0,Drever
https://api-ninjas.com/images/dogs/dutch_shepherd.jpg,3,3,3,2,2,1,3,4,5,5,5,2,11.0,14.0,24.5,24.5,75.0,75.0,21.5,21.5,42.0,42.0,Dutch Shepherd
https://api-ninjas.com/images/dogs/english_cocker_spaniel.jpg,5,5,3,3,2,2,4,3,3,4,3,3,12.0,14.0,17.0,17.0,34.0,32.0,16.0,16.0,28.0,26.0,English Cocker Spaniel
https://api-ninjas.com/images/dogs/english_foxhound.jpg,5,5,3,1,2,1,4,4,3,4,4,5,10.0,13.0,24.0,24.0,75.0,75.0,24.0,24.0,60.0,60.0,English Foxhound
https://api-ninjas.com/images/dogs/english_setter.jpg,4,4,3,3,3,1,4,4,3,4,3,3,12.0,12.0,27.0,27.0,80.0,55.0,25.0,25.0,65.0,45.0,English Setter
https://api-ninjas.com/images/dogs/english_springer_spaniel.jpg,3,4,3,2,3,1,4,4,3,5,4,3,12.0,14.0,20.0,20.0,50.0,40.0,20.0,20.0,50.0,40.0,English Springer Spaniel
https://api-ninjas.com/images/dogs/entlebucher_mountain_dog.jpg,3,5,3,1,2,1,3,3,5,3,5,3,11.0,13.0,21.0,21.0,65.0,55.0,17.0,17.0,50.0,40.0,Entlebucher Mountain Dog
https://api-ninjas.com/images/dogs/estrela_mountain_dog.jpg,5,3,3,2,4,1,2,3,5,4,3,3,10.0,14.0,29.0,29.0,132.0,132.0,24.5,24.5,77.0,77.0,Estrela Mountain Dog
https://api-ninjas.com/images/dogs/eurasier.jpg,4,3,3,3,2,1,2,3,3,4,3,3,12.0,16.0,24.0,24.0,70.0,70.0,19.0,19.0,40.0,40.0,Eurasier
https://api-ninjas.com/images/dogs/field_spaniel.jpg,5,4,3,2,2,1,4,3,3,5,3,3,12.0,13.0,18.0,18.0,50.0,50.0,18.0,18.0,35.0,35.0,Field Spaniel
https://api-ninjas.com/images/dogs/finnish_lapphund.jpg,4,3,4,2,2,1,4,3,3,4,3,5,12.0,15.0,21.0,21.0,53.0,53.0,18.0,18.0,33.0,33.0,Finnish Lapphund
https://api-ninjas.com/images/dogs/finnish_spitz.jpg,5,4,3,2,2,1,3,3,3,3,5,5,13.0,15.0,20.0,20.0,33.0,28.0,17.5,17.5,25.0,20.0,Finnish Spitz
https://api-ninjas.com/images/dogs/flat-coated_retriever.jpg,5,5,3,2,2,1,5,5,3,5,5,3,8.0,10.0,24.5,24.5,70.0,70.0,23.0,23.0,60.0,60.0,Flat-Coated Retriever
https://api-ninjas.com/images/dogs/french_bulldog.jpg,5,4,3,1,3,1,5,5,3,4,3,1,10.0,12.0,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,French Bulldog
https://api-ninjas.com/images/dogs/french_spaniel.jpg,5,5,3,1,2,1,5,4,3,5,4,3,10.0,12.0,24.0,24.0,60.0,60.0,21.5,21.5,50.0,50.0,French Spaniel
https://api-ninjas.com/images/dogs/german_longhaired_pointer.jpg,5,4,3,1,2,1,4,4,3,5,4,3,12.0,14.0,28.0,28.0,80.0,80.0,22.0,22.0,55.0,55.0,German Longhaired Pointer
https://api-ninjas.com/images/dogs/german_pinscher.jpg,3,3,3,1,1,1,3,4,4,5,5,3,12.0,14.0,20.0,20.0,45.0,45.0,17.0,17.0,25.0,25.0,German Pinscher
https://api-ninjas.com/images/dogs/german_shepherd_dog.jpg,5,3,4,2,2,1,3,4,5,5,5,3,7.0,10.0,26.0,26.0,90.0,70.0,24.0,24.0,65.0,50.0,German Shepherd Dog
https://api-ninjas.com/images/dogs/german_shorthaired_pointer.jpg,5,4,3,2,2,1,4,4,4,5,5,3,10.0,12.0,25.0,25.0,70.0,60.0,23.0,23.0,55.0,45.0,German Shorthaired Pointer
https://api-ninjas.com/images/dogs/german_spitz.jpg,3,4,3,3,2,1,4,4,3,5,3,5,13.0,15.0,15.0,15.0,26.0,26.0,12.0,12.0,24.0,24.0,German Spitz
https://api-ninjas.com/images/dogs/german_wirehaired_pointer.jpg,3,3,2,2,2,1,4,4,3,5,5,3,14.0,16.0,26.0,26.0,70.0,70.0,24.0,24.0,50.0,50.0,German Wirehaired Pointer
https://api-ninjas.com/images/dogs/giant_schnauzer.jpg,3,3,3,4,2,1,3,4,5,5,5,3,12.0,15.0,27.5,27.5,85.0,75.0,25.5,25.5,60.0,55.0,Giant Schnauzer
https://api-ninjas.com/images/dogs/glen_of_imaal_terrier.jpg,3,3,2,3,2,1,3,3,3,3,3,2,10.0,15.0,14.0,14.0,40.0,40.0,12.5,12.5,32.0,32.0,Glen of Imaal Terrier
https://api-ninjas.com/images/dogs/golden_retriever.jpg,5,5,4,2,2,1,5,4,3,5,3,1,10.0,12.0,24.0,24.0,75.0,65.0,23.0,23.0,65.0,55.0,Golden Retriever
https://api-ninjas.com/images/dogs/gordon_setter.jpg,3,3,3,2,4,1,3,3,4,5,5,3,12.0,13.0,27.0,27.0,80.0,70.0,24.0,24.0,55.0,45.0,Gordon Setter
https://api-ninjas.com/images/dogs/grand_basset_griffon_vendéen.jpg,3,4,3,2,2,1,5,4,3,3,5,4,13.0,15.0,18.0,18.0,45.0,45.0,15.5,15.5,40.0,40.0,Grand Basset Griffon Vendéen
https://api-ninjas.com/images/dogs/great_dane.jpg,3,3,3,1,4,1,3,4,5,3,4,3,7.0,10.0,32.0,32.0,175.0,140.0,30.0,30.0,140.0,110.0,Great Dane
https://api-ninjas.com/images/dogs/great_pyrenees.jpg,3,3,3,2,3,1,3,3,5,3,3,3,10.0,12.0,32.0,32.0,120.0,90.0,27.0,27.0,110.0,80.0,Great Pyrenees
https://api-ninjas.com/images/dogs/greater_swiss_mountain_dog.jpg,5,3,3,2,3,1,5,4,4,4,4,3,8.0,11.0,28.5,28.5,140.0,110.0,25.5,25.5,115.0,85.0,Greater Swiss Mountain Dog
https://api-ninjas.com/images/dogs/greyhound.jpg,3,4,2,1,1,1,3,3,3,3,4,3,10.0,13.0,30.0,30.0,70.0,65.0,28.0,28.0,65.0,60.0,Greyhound
https://api-ninjas.com/images/dogs/italian_greyhound.jpg,3,5,3,1,1,1,5,4,3,4,3,3,14.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,7.0,7.0,Italian Greyhound
https://api-ninjas.com/images/dogs/harrier.jpg,5,5,3,1,2,1,4,4,3,4,4,5,12.0,15.0,21.0,21.0,60.0,60.0,19.0,19.0,45.0,45.0,Harrier
https://api-ninjas.com/images/dogs/havanese.jpg,5,5,2,3,1,1,5,5,3,4,3,4,14.0,16.0,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,Havanese
https://api-ninjas.com/images/dogs/hokkaido.jpg,3,3,3,2,2,1,3,3,5,4,4,3,12.0,15.0,20.0,20.0,66.0,66.0,18.0,18.0,44.0,44.0,Hokkaido
https://api-ninjas.com/images/dogs/hovawart.jpg,4,4,3,2,2,1,4,4,5,4,3,1,10.0,14.0,28.0,28.0,90.0,90.0,23.0,23.0,65.0,65.0,Hovawart
https://api-ninjas.com/images/dogs/ibizan_hound.jpg,3,5,2,1,1,1,3,4,3,3,5,3,11.0,14.0,27.5,27.5,50.0,45.0,23.5,23.5,50.0,45.0,Ibizan Hound
https://api-ninjas.com/images/dogs/icelandic_sheepdog.jpg,5,4,3,2,2,1,3,3,4,5,4,4,12.0,14.0,18.0,18.0,30.0,25.0,18.0,18.0,30.0,25.0,Icelandic Sheepdog
https://api-ninjas.com/images/dogs/irish_red_and_white_setter.jpg,5,5,2,2,2,1,5,3,3,5,5,3,11.0,15.0,26.0,26.0,60.0,50.0,24.5,24.5,42.0,35.0,Irish Red and White Setter
https://api-ninjas.com/images/dogs/irish_setter.jpg,5,5,3,3,2,1,5,5,3,4,5,3,12.0,15.0,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,Irish Setter
https://api-ninjas.com/images/dogs/irish_terrier.jpg,5,1,2,1,1,1,3,3,5,3,3,3,13.0,15.0,18.0,18.0,27.0,25.0,18.0,18.0,27.0,25.0,Irish Terrier
https://api-ninjas.com/images/dogs/irish_water_spaniel.jpg,3,3,1,3,2,1,3,5,3,5,3,1,12.0,13.0,24.0,24.0,68.0,58.0,22.0,22.0,55.0,45.0,Irish Water Spaniel
https://api-ninjas.com/images/dogs/irish_wolfhound.jpg,3,4,3,2,2,1,3,3,5,3,3,1,6.0,8.0,34.0,34.0,120.0,105.0,32.0,32.0,120.0,105.0,Irish Wolfhound
https://api-ninjas.com/images/dogs/italian_greyhound.jpg,3,5,3,1,1,1,5,4,3,4,3,3,14.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,7.0,7.0,Italian Greyhound
https://api-ninjas.com/images/dogs/jagdterrier.jpg,3,3,2,1,1,1,3,4,4,3,3,1,10.0,12.0,16.0,16.0,22.0,22.0,13.0,13.0,17.0,17.0,Jagdterrier
